start_timestamps,function,duration,parameters
1620521960.3202827,imageprocess,2934.5,['4.3M-sunset_and_evening_1_of_2_515486.jpg']
1620521960.4032235,encrypt,8655.0,"['50000.0', '25.0']"
1620521960.962094,imageprocess,1640.5,['7.8M-26365_kitty_515094.jpg']
1620521961.1939006,sentiment,14421.0,['2500-strings.json']
1620521961.4743094,floatmatmult,31556.0,"['matrix1_6000_0.5.txt', 'matrix1_6000_0.5.txt']"
1620521961.8228927,linpack,35822.1924184261,['9000.0']
1620521961.9945343,imageprocess,1073.5,['5.7M-winter_in_leeds_513733.jpg']
1620521962.139443,floatmatmult,10375.5,"['matrix1_4000_0.1.txt', 'matrix1_4000_0.1.txt']"
1620521962.3649583,encrypt,3488.5,"['10000.0', '50.0']"
1620521962.6231828,sentiment,4663.0,['750-strings.json']
1620521962.694124,videoprocess,531.0,['820K-cbw3.avi']
1620521962.9857676,encrypt,3549.0,"['5000.0', '100.0']"
1620521963.3688495,lrtrain,47935.0,['20M-reviews.csv']
1620521963.6863842,mobilenet,3114.5,['4.3M-sunset_and_evening_1_of_2_515486.jpg']
1620521963.7729924,imageprocess,3441.5,['30M-river_landscape_515440.jpg']
1620521964.2945898,floatmatmult,3300.0,"['matrix1_2000_0.5.txt', 'matrix1_2000_0.5.txt']"
1620521964.3239374,videoprocess,397.0,['284K-flame.avi']
1620521964.4648347,imageprocess,1482.0,['6.1M-simple_landscape_2_515009.jpg']
1620521965.132565,encrypt,3518.5,"['50000.0', '10.0']"
1620521965.2368066,linpack,13916.737044145872,['2500.0']
1620521965.6649826,imageprocess,2262.5,['5.6M-pink_sorrel_515688.jpg']
1620521966.2577028,sentiment,16049.5,['2750-strings.json']
1620521966.3830116,sentiment,6034.0,['1000-strings.json']
1620521966.7204053,sentiment,1786.5,['250-strings.json']
1620521966.9364662,linpack,24026.947216890592,['5500.0']
1620521966.9521914,linpack,20656.87715930902,['4500.0']
1620521967.0782175,videoprocess,4964.0,['2.2M.mp4']
1620521967.9762146,mobilenet,3053.5,['7.8M-26365_kitty_515094.jpg']
1620521968.090644,videoprocess,814.5,['404K-small.avi']
1620521968.173605,imageprocess,4576.5,['13M-forest_515915.jpg']
1620521968.4039025,imageprocess,1498.0,['4.5M-forest_513174.jpg']
1620521969.0476823,floatmatmult,33575.0,"['matrix1_6000_0.7.txt', 'matrix1_6000_0.7.txt']"
1620521969.049081,sentiment,521.0,['50-strings.json']
1620521969.3508346,imageprocess,1821.0,['6.1M-fire_514822.jpg']
