CPU	CPU%c6
-	96.93
0	0.00
4	99.93
8	93.15
10	99.81
6	99.61
2	98.95
12	98.49
16	99.93
20	99.95
22	99.73
18	99.91
14	97.78
24	98.75
28	99.95
32	98.77
36	99.92
34	98.83
30	95.45
26	99.95
40	94.30
44	99.83
46	99.63
42	99.04
38	96.99
1	98.67
5	99.59
9	97.17
13	99.90
11	98.73
7	99.33
3	99.81
17	99.86
21	99.93
25	99.95
23	99.93
19	99.90
15	99.95
29	96.32
33	99.95
37	99.95
35	99.95
31	99.92
27	99.83
41	99.95
45	96.50
47	99.37
43	99.95
39	99.81
 
CPU	CPU%c6
-	96.97
0	0.00
4	99.47
8	93.40
10	99.83
6	98.78
2	99.53
12	98.48
16	99.93
20	99.90
22	99.69
18	99.90
14	98.07
24	98.97
28	99.93
32	98.45
36	99.90
34	98.84
30	95.52
26	99.90
40	94.23
44	99.85
46	99.57
42	99.15
38	96.79
1	98.66
5	99.71
9	99.07
13	99.90
11	99.88
7	99.90
3	99.66
17	99.90
21	99.85
25	99.93
23	99.93
19	99.78
15	99.90
29	99.88
33	99.90
37	99.93
35	99.93
31	99.88
27	99.78
41	99.90
45	92.44
47	99.32
43	99.90
39	99.53
 
CPU	CPU%c6
-	96.90
0	0.00
4	99.87
8	93.83
10	99.85
6	98.50
2	99.75
12	98.29
16	99.95
20	99.95
22	99.27
18	99.93
14	98.06
24	98.82
28	99.95
32	98.35
36	99.90
34	98.80
30	95.42
26	99.95
40	98.03
44	99.66
46	99.56
42	96.95
38	94.98
1	96.47
5	99.03
9	97.28
13	99.93
11	99.41
7	99.25
3	99.79
17	99.95
21	99.93
25	99.93
23	99.95
19	99.88
15	99.95
29	94.56
33	99.95
37	99.90
35	99.91
31	99.93
27	99.88
41	99.92
45	99.90
47	99.49
43	99.93
39	99.54
 
CPU	CPU%c6
-	96.91
0	0.00
4	99.89
8	93.64
10	99.85
6	98.78
2	99.37
12	98.55
16	99.93
20	99.93
22	99.57
18	99.71
14	98.03
24	98.87
28	99.88
32	98.44
36	99.90
34	98.75
30	95.50
26	99.93
40	98.27
44	99.78
46	99.58
42	96.87
38	94.80
1	96.95
5	99.37
9	98.89
13	99.87
11	99.31
7	99.07
3	99.82
17	99.93
21	99.50
25	99.89
23	99.90
19	99.84
15	99.93
29	93.81
33	99.93
37	99.93
35	99.88
31	99.87
27	99.74
41	99.90
45	99.93
47	99.44
43	99.82
39	99.46
 
CPU	CPU%c6
-	96.89
0	0.00
4	99.83
8	92.58
10	99.85
6	98.89
2	99.75
12	98.45
16	99.88
20	99.95
22	99.74
18	99.52
14	97.87
24	99.01
28	99.95
32	98.58
36	99.90
34	98.77
30	95.40
26	99.90
40	96.23
44	99.85
46	99.69
42	94.81
38	98.59
1	98.58
5	99.48
9	97.18
13	99.93
11	99.93
7	99.24
3	99.35
17	99.93
21	99.93
25	99.95
23	99.95
19	99.87
15	99.95
29	92.08
33	99.93
37	99.95
35	99.95
31	99.92
27	99.88
41	99.95
45	99.93
47	99.49
43	99.95
39	99.41
 
CPU	CPU%c6
-	96.91
0	0.00
4	99.90
8	93.49
10	99.88
6	99.52
2	98.99
12	98.49
16	99.95
20	99.93
22	99.61
18	99.95
14	97.64
24	98.49
28	99.95
32	98.49
36	99.90
34	98.80
30	95.51
26	99.95
40	95.95
44	99.75
46	99.64
42	94.90
38	98.58
1	98.00
5	99.57
9	98.63
13	99.93
11	99.39
7	99.44
3	99.40
17	99.95
21	99.88
25	99.95
23	99.95
19	99.88
15	99.93
29	92.12
33	99.95
37	99.95
35	99.95
31	99.90
27	99.83
41	99.95
45	99.95
47	99.37
43	99.95
39	99.51
 
CPU	CPU%c6
-	96.90
0	0.00
4	98.55
8	93.15
10	99.82
6	99.23
2	99.40
12	98.40
16	99.93
20	99.93
22	99.72
18	99.87
14	98.20
24	98.88
28	99.93
32	98.59
36	99.90
34	98.74
30	95.45
26	99.93
40	94.22
44	99.78
46	99.55
42	99.21
38	96.85
1	98.43
5	99.58
9	97.88
13	99.88
11	99.26
7	99.90
3	99.45
17	99.89
21	99.90
25	99.90
23	99.93
19	99.80
15	99.93
29	92.17
33	99.93
37	99.90
35	99.93
31	99.84
27	99.85
41	99.93
45	99.86
47	99.39
43	99.90
39	99.51
 
CPU	CPU%c6
-	96.97
0	0.00
4	99.06
8	93.20
10	99.85
6	99.70
2	99.90
12	98.52
16	99.93
20	99.95
22	99.49
18	99.83
14	98.07
24	98.83
28	99.93
32	98.69
36	99.90
34	98.87
30	95.45
26	99.95
40	94.34
44	99.85
46	99.54
42	98.99
38	96.83
1	98.73
5	99.76
9	98.73
13	99.90
11	99.32
7	99.40
3	99.93
17	99.92
21	99.93
25	99.95
23	99.93
19	99.88
15	99.95
29	92.12
33	99.95
37	99.95
35	99.93
31	99.90
27	99.86
41	99.93
45	99.93
47	99.47
43	99.95
39	99.73
 
CPU	CPU%c6
-	96.84
0	0.00
4	99.03
8	93.79
10	99.80
6	99.47
2	99.71
12	98.33
16	99.93
20	99.93
22	99.42
18	99.93
14	97.85
24	98.80
28	99.93
32	97.96
36	99.90
34	98.47
30	95.49
26	99.90
40	98.27
44	99.64
46	99.37
42	96.89
38	94.39
1	98.41
5	99.41
9	97.06
13	99.90
11	99.24
7	99.40
3	99.74
17	99.93
21	99.46
25	99.93
23	99.93
19	99.78
15	99.93
29	92.16
33	99.90
37	99.90
35	99.89
31	99.93
27	99.80
41	99.86
45	99.90
47	99.37
43	99.93
39	99.49
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.84
8	93.92
10	99.78
6	98.69
2	99.66
12	98.41
16	99.95
20	99.95
22	99.58
18	99.76
14	97.85
24	98.90
28	99.95
32	98.75
36	99.90
34	98.84
30	95.39
26	99.95
40	98.32
44	99.88
46	99.58
42	96.72
38	94.59
1	93.17
5	99.76
9	98.32
13	99.77
11	99.28
7	99.24
3	99.07
17	99.95
21	99.88
25	99.92
23	99.95
19	99.37
15	99.93
29	97.82
33	99.83
37	99.93
35	99.95
31	99.90
27	99.77
41	99.95
45	99.95
47	99.44
43	99.93
39	99.73
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.95
8	93.20
10	99.85
6	98.83
2	99.80
12	98.39
16	99.90
20	99.95
22	99.63
18	99.88
14	98.06
24	98.56
28	99.95
32	98.54
36	99.92
34	98.73
30	95.57
26	99.92
40	96.26
44	99.88
46	99.66
42	95.00
38	98.77
1	97.59
5	99.68
9	97.93
13	99.85
11	99.47
7	99.08
3	99.32
17	99.95
21	99.93
25	99.93
23	99.95
19	99.88
15	99.32
29	93.38
33	99.90
37	99.95
35	99.95
31	99.95
27	99.85
41	99.95
45	99.95
47	99.49
43	99.95
39	99.71
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.37
8	92.79
10	99.80
6	98.84
2	99.35
12	98.30
16	99.90
20	99.93
22	99.40
18	99.93
14	97.97
24	98.53
28	99.90
32	98.68
36	99.90
34	98.83
30	95.47
26	99.93
40	95.90
44	99.80
46	99.47
42	95.18
38	98.65
1	98.65
5	99.35
9	99.70
13	99.88
11	99.21
7	99.85
3	99.52
17	99.87
21	99.90
25	99.93
23	99.90
19	99.78
15	99.93
29	92.99
33	99.93
37	99.93
35	99.90
31	99.84
27	99.83
41	99.90
45	99.86
47	99.34
43	99.93
39	99.49
 
CPU	CPU%c6
-	96.95
0	0.00
4	99.93
8	93.04
10	99.79
6	98.85
2	99.85
12	98.23
16	99.95
20	99.93
22	99.57
18	99.92
14	98.15
24	98.94
28	99.95
32	98.64
36	99.92
34	98.92
30	95.57
26	99.93
40	94.38
44	99.80
46	99.61
42	99.20
38	97.29
1	98.60
5	99.52
9	97.21
13	99.93
11	99.30
7	99.30
3	99.77
17	99.95
21	99.90
25	99.95
23	99.95
19	99.90
15	99.95
29	92.82
33	99.93
37	99.95
35	99.95
31	99.95
27	99.83
41	99.95
45	99.90
47	99.46
43	99.95
39	99.49
 
CPU	CPU%c6
-	96.96
0	0.00
4	99.93
8	94.02
10	99.80
6	98.70
2	99.80
12	98.36
16	99.93
20	99.93
22	99.65
18	99.93
14	97.96
24	98.71
28	99.93
32	98.68
36	99.87
34	98.86
30	95.46
26	99.93
40	94.49
44	99.78
46	99.59
42	98.91
38	96.95
1	98.46
5	99.44
9	98.57
13	99.90
11	99.37
7	99.23
3	99.80
17	99.93
21	99.88
25	99.93
23	99.93
19	99.85
15	99.90
29	92.65
33	99.93
37	99.85
35	99.90
31	99.81
27	99.81
41	99.93
45	99.88
47	99.51
43	99.84
39	99.70
 
CPU	CPU%c6
-	96.93
0	0.00
4	98.96
8	93.33
10	99.83
6	99.10
2	99.32
12	98.44
16	99.95
20	99.92
22	99.23
18	99.93
14	98.17
24	98.86
28	99.95
32	98.46
36	99.92
34	98.86
30	95.54
26	99.95
40	98.35
44	99.71
46	99.52
42	96.99
38	94.66
1	95.68
5	99.39
9	98.40
13	99.90
11	99.91
7	99.83
3	99.74
17	99.95
21	99.90
25	99.93
23	99.95
19	99.83
15	99.95
29	95.17
33	99.92
37	99.92
35	99.92
31	99.95
27	99.85
41	99.91
45	99.95
47	99.37
43	99.95
39	99.49
 
CPU	CPU%c6
-	96.99
0	0.00
4	99.07
8	93.86
10	99.75
6	99.70
2	99.66
12	98.63
16	99.93
20	99.95
22	99.27
18	99.92
14	98.25
24	98.96
28	99.93
32	98.88
36	99.90
34	98.97
30	95.50
26	99.95
40	98.23
44	99.80
46	99.66
42	96.84
38	95.48
1	94.25
5	99.49
9	99.06
13	99.87
11	99.22
7	99.36
3	98.84
17	99.93
21	99.93
25	99.89
23	99.93
19	99.88
15	99.95
29	97.49
33	99.95
37	99.95
35	99.93
31	99.95
27	99.80
41	99.93
45	99.90
47	99.37
43	99.95
39	99.49
 
CPU	CPU%c6
-	96.90
0	0.00
4	98.82
8	92.96
10	99.85
6	99.67
2	99.78
12	98.43
16	99.88
20	99.90
22	99.61
18	99.80
14	97.77
24	98.92
28	99.93
32	98.54
36	99.90
34	98.80
30	95.45
26	99.87
40	96.24
44	99.78
46	99.48
42	94.98
38	99.30
1	98.71
5	99.45
9	96.63
13	99.90
11	99.45
7	99.28
3	99.90
17	99.93
21	99.47
25	99.93
23	99.93
19	99.85
15	99.93
29	92.75
33	99.90
37	99.93
35	99.93
31	99.93
27	99.81
41	99.93
45	99.90
47	99.41
43	99.93
39	99.68
 
CPU	CPU%c6
-	96.95
0	0.00
4	99.18
8	93.54
10	99.83
6	99.47
2	99.81
12	98.29
16	99.95
20	99.95
22	99.54
18	99.95
14	98.08
24	98.88
28	99.95
32	98.78
36	99.90
34	98.90
30	95.45
26	99.95
40	95.81
44	99.80
46	99.59
42	95.25
38	98.92
1	98.61
5	99.51
9	98.40
13	99.93
11	98.71
7	99.13
3	99.49
17	99.92
21	99.90
25	99.93
23	99.95
19	99.88
15	99.93
29	92.94
33	99.95
37	99.93
35	99.95
31	99.89
27	99.86
41	99.95
45	99.86
47	99.47
43	99.93
39	99.73
 
CPU	CPU%c6
-	96.92
0	0.00
4	99.93
8	93.20
10	99.79
6	98.92
2	99.88
12	98.36
16	99.95
20	99.95
22	99.70
18	99.89
14	97.74
24	98.87
28	99.93
32	98.45
36	99.90
34	98.79
30	95.44
26	99.95
40	94.32
44	99.75
