tid,start_time,end_time,function,container_id,duration,cold_start_latency,cpu,inputs,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip
#tid_78679e8dd786ced724a8c48444f758c7,2023-09-13T17:24:58.158Z,2023-09-13T17:25:12.909Z,floatmatmult_8,5075a7a624738aec7df4d2360c8824c6bbdcbf406027611cad340f883d5af0c2,14751,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_4a0c760a3d26ace218bddeda7f67f15f,2023-09-13T17:25:46.993Z,2023-09-13T17:26:02.043Z,floatmatmult_8,5075a7a624738aec7df4d2360c8824c6bbdcbf406027611cad340f883d5af0c2,15049,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_f370d41ecd4488ec0e9a505f03d1399d,2023-09-13T17:27:12.530Z,2023-09-13T17:27:27.765Z,floatmatmult_8,5075a7a624738aec7df4d2360c8824c6bbdcbf406027611cad340f883d5af0c2,15235,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_268f89368396498c74df489801154c20,2023-09-13T17:32:35.021Z,2023-09-13T17:32:49.602Z,floatmatmult_8,5075a7a624738aec7df4d2360c8824c6bbdcbf406027611cad340f883d5af0c2,14580,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_d2f0f818ff5e2eec20a4deb2a4666462,2023-09-13T17:33:29.362Z,2023-09-13T17:33:44.377Z,floatmatmult_8,5075a7a624738aec7df4d2360c8824c6bbdcbf406027611cad340f883d5af0c2,15015,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_50b0cbf6179085291da121ca740ce41a,2023-09-13T17:34:02.595Z,2023-09-13T17:34:17.269Z,floatmatmult_8,5075a7a624738aec7df4d2360c8824c6bbdcbf406027611cad340f883d5af0c2,14673,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_fb8d142a127ff6c6499b51678802f295,2023-09-13T17:34:48.209Z,2023-09-13T17:35:02.824Z,floatmatmult_8,5075a7a624738aec7df4d2360c8824c6bbdcbf406027611cad340f883d5af0c2,14614,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_0298ecc40d8348d73c4a41e559826c22,2023-09-13T17:34:51.988Z,2023-09-13T17:34:55.500Z,imageprocess,8185cbff06c3916258e999f3db6a8641b764398609a157476bee8048b8010ade,3512,544,-1,"[-1, -1]",,,,,,129.114.108.158
#tid_422c558d8b45ffa1a4dae3064cd2e9e8,2023-09-13T21:44:28.715Z,2023-09-13T21:44:43.706Z,floatmatmult_8,7f37f882f8c213c078465a7eb267e93dfca2e858f5b27536ec7599b46ee67f1c,14990,654,8,"[-1, -1]",,,,,,129.114.108.158
#tid_22fabe46a093e8363712097864c4a5dd,2023-09-13T21:46:42.825Z,2023-09-13T21:46:58.060Z,floatmatmult_8,7f37f882f8c213c078465a7eb267e93dfca2e858f5b27536ec7599b46ee67f1c,15234,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_66778cade7bbbc58c53d9e6ef127bea0,2023-09-13T21:50:12.146Z,2023-09-13T21:50:27.234Z,floatmatmult_8,7f37f882f8c213c078465a7eb267e93dfca2e858f5b27536ec7599b46ee67f1c,15087,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_0e050b0cf3c652bd3a11b038c996d305,2023-09-13T21:52:55.605Z,2023-09-13T21:53:10.796Z,floatmatmult_8,7f37f882f8c213c078465a7eb267e93dfca2e858f5b27536ec7599b46ee67f1c,15190,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_a26e8057a45cb3a8f6cd6251f869d567,2023-09-13T21:57:27.037Z,2023-09-13T21:57:41.894Z,floatmatmult_8,7f37f882f8c213c078465a7eb267e93dfca2e858f5b27536ec7599b46ee67f1c,14857,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_b1b38779cfc8fdf152ed900a2e7cdc0b,2023-09-13T21:58:19.493Z,2023-09-13T21:58:34.350Z,floatmatmult_8,7f37f882f8c213c078465a7eb267e93dfca2e858f5b27536ec7599b46ee67f1c,14856,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_bbb20cc0bc8c4f3625af10c9f021c849,2023-09-13T21:59:55.069Z,2023-09-13T22:00:10.351Z,floatmatmult_8,7f37f882f8c213c078465a7eb267e93dfca2e858f5b27536ec7599b46ee67f1c,15282,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_c27ac11d02c4c21eb872e3b9738feae2,2023-09-13T22:02:20.610Z,2023-09-13T22:02:35.975Z,floatmatmult_8,7f37f882f8c213c078465a7eb267e93dfca2e858f5b27536ec7599b46ee67f1c,15365,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_40b1bcd809260a922ceeb8174545084d,2023-09-13T22:07:47.626Z,2023-09-13T22:08:02.479Z,floatmatmult_8,7f37f882f8c213c078465a7eb267e93dfca2e858f5b27536ec7599b46ee67f1c,14853,0,8,"[-1, -1]",,,,,,129.114.108.158
#tid_be64f28caef8055686b7c02fade7208c,2023-09-13T22:33:51.229Z,2023-09-13T22:34:06.802Z,floatmatmult_8,477ec30dbefde9a6b3610585543705dbeb2b38017070db96f3ec98b9f49d9fd2,15573,743,8,"[-1, -1]",,,,,,129.114.108.158
