function,lachesis_start,lachesis_end,start_time,end_time,duration,cold_start_latency,slo,inputs,cpu_limit,mem_limit,predicted_cpu,predicted_mem,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip,invoker_name,activation_id,exp_no,scheduled_cpu,scheduled_mem,energy,frequency
floatmatmult,2024-03-06T06:26:32.280117Z,2024-03-06T06:26:41.405050Z,2024-03-06T06:26:35.845Z,2024-03-06T06:26:41.004Z,5158.0,2175.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",1.0,5120.0,-1.0,-1.0,1.1338955016702967,1.1611377591866354,1.1829315651997063,1.188380016702974,110.0,129.114.108.87,w1,6351583cfb19499391583cfb19599347,,1,5120,29.694944738653255,1000000.0
floatmatmult,2024-03-06T06:26:41.409817Z,2024-03-06T06:27:03.132417Z,2024-03-06T06:26:57.888Z,2024-03-06T06:27:02.751Z,4863.0,2146.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",1.0,5120.0,-1.0,-1.0,1.075274589470258,1.1580799050593769,1.2243241575306723,1.2408852206484962,110.0,129.114.108.87,w1,563c2a45fc6f4750bc2a45fc6f975009,,1,5120,25.742654080475447,1000000.0
floatmatmult,2024-03-06T06:27:03.497903Z,2024-03-06T06:27:22.629521Z,2024-03-06T06:27:17.078Z,2024-03-06T06:27:22.255Z,5177.0,2212.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",1.0,5120.0,-1.0,-1.0,1.0948402758742828,1.1918015172525027,1.269370510355079,1.2887627586307229,110.0,129.114.108.87,w1,883704ffe6f04ae2b704ffe6f07ae2ca,,1,5120,25.235609110748264,1000000.0
floatmatmult,2024-03-06T06:27:23.587680Z,2024-03-06T06:27:31.788858Z,2024-03-06T06:27:26.879Z,2024-03-06T06:27:31.337Z,4458.0,1965.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",2.0,5120.0,-1.0,-1.0,1.5584523110986128,1.8917767079839551,2.15843622549223,2.2251011048692986,110.0,129.114.108.87,w1,023917135eff48aab917135effd8aa19,,2,5120,20.765309363292033,1000000.0
floatmatmult,2024-03-06T06:27:32.677375Z,2024-03-06T06:27:51.134532Z,2024-03-06T06:27:45.982Z,2024-03-06T06:27:50.636Z,4654.0,1997.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",2.0,5120.0,-1.0,-1.0,1.5595974139994362,2.0192022874075275,2.3868861861340025,2.4788071608156206,110.0,129.114.108.87,w1,f89bd26bdfb846f09bd26bdfb8e6f032,,2,5120,16.774151102699516,1000000.0
floatmatmult,2024-03-06T06:27:51.767359Z,2024-03-06T06:28:09.952654Z,2024-03-06T06:28:05.076Z,2024-03-06T06:28:09.535Z,4459.0,1958.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",2.0,5120.0,-1.0,-1.0,1.8610372710929404,1.9713787859248386,2.0596519977903576,2.0817203007567375,110.0,129.114.108.87,w1,21a6859e74ca467ea6859e74ca567e53,,2,5120,14.9623471832139,1000000.0
floatmatmult,2024-03-06T06:28:10.858747Z,2024-03-06T06:28:18.864547Z,2024-03-06T06:28:14.168Z,2024-03-06T06:28:18.434Z,4265.0,1885.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",3.0,5120.0,-1.0,-1.0,1.95743294882079,2.2622961586349346,2.5061867264862503,2.5671593684490794,111.0,129.114.108.87,w1,058195f0c6ab42558195f0c6ab3255af,,3,5120,12.596133002666429,1000000.0
floatmatmult,2024-03-06T06:28:18.948815Z,2024-03-06T06:28:36.684840Z,2024-03-06T06:28:32.239Z,2024-03-06T06:28:36.333Z,4094.0,1958.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",3.0,5120.0,-1.0,-1.0,1.9295304531823299,2.2434836570023595,2.4946462200583834,2.55743686082239,111.0,129.114.108.87,w1,3e85ef941afe4b8f85ef941afefb8f49,,3,5120,15.478467825691787,1000000.0
floatmatmult,2024-03-06T06:28:37.038533Z,2024-03-06T06:28:54.851721Z,2024-03-06T06:28:50.275Z,2024-03-06T06:28:54.437Z,4161.0,1869.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",3.0,5120.0,-1.0,-1.0,2.093393384410867,2.121166379705434,2.1433847759410876,2.148939375000001,110.0,129.114.108.87,w1,9a1f3ef4983c46a49f3ef4983c46a417,,3,5120,14.965633075511041,1000000.0
floatmatmult,2024-03-06T06:28:55.127929Z,2024-03-06T06:29:03.030123Z,2024-03-06T06:28:58.387Z,2024-03-06T06:29:02.529Z,4142.0,1933.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",5.0,5120.0,-1.0,-1.0,2.058594367080025,3.199131814214194,4.11156177192153,4.339669261348365,111.0,129.114.108.87,w1,4797a8b914624ca697a8b914628ca64c,,5,5120,16.259096599348634,1000000.0
floatmatmult,2024-03-06T06:29:03.219229Z,2024-03-06T06:29:21.024564Z,2024-03-06T06:29:16.463Z,2024-03-06T06:29:20.598Z,4135.0,1890.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",5.0,5120.0,-1.0,-1.0,2.076516908909137,3.2659432915524995,4.217484397667191,4.4553696741958655,109.0,129.114.108.87,w1,140c44a112a846bf8c44a112a8b6bf80,,5,5120,15.684630547488942,1000000.0
floatmatmult,2024-03-06T06:29:21.308479Z,2024-03-06T06:29:39.034784Z,2024-03-06T06:29:34.489Z,2024-03-06T06:29:38.616Z,4127.0,1839.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",5.0,5120.0,-1.0,-1.0,2.1106594767680407,3.3086302821194224,4.26700692640053,4.506601087470808,110.0,129.114.108.87,w1,370a4d9cc81d408f8a4d9cc81d508f98,,5,5120,17.0075660541026,1000000.0
floatmatmult,2024-03-06T06:29:39.400330Z,2024-03-06T06:29:46.869366Z,2024-03-06T06:29:42.608Z,2024-03-06T06:29:46.444Z,3835.0,1898.0,1793.3999999999999,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",7.0,5120.0,-1.0,-1.0,3.0413215998551966,3.9412576395962615,4.661206471389115,4.841193679337329,111.0,129.114.108.87,w1,bfdb52122be741cf9b52122be731cf77,,7,5120,16.08940789236696,1000000.0
