function,lachesis_start,lachesis_end,start_time,end_time,duration,cold_start_latency,slo,inputs,cpu_limit,mem_limit,predicted_cpu,predicted_mem,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip,invoker_name,activation_id,exp_no,scheduled_cpu,scheduled_mem,energy,frequency
imageprocess,2024-03-11T05:36:30.565105Z,2024-03-11T05:36:43.530332Z,2024-03-11T05:36:33.124Z,2024-03-11T05:36:42.836Z,9711.0,1090.0,3776.4999999999995,"[""7.4M-ford_gt_35_15_516157.jpg""]",1.0,5120.0,-1.0,-1.0,1.0576504556776594,1.058710885601623,1.059432106390145,1.0596124115872756,290.0,129.114.109.158,w1,7a3c21f689684e50bc21f689688e500c,,1,5120,31.541983368748216,1000000.0
imageprocess,2024-03-11T05:36:43.657114Z,2024-03-11T05:37:09.584430Z,2024-03-11T05:36:59.099Z,2024-03-11T05:37:08.835Z,9736.0,1135.0,3776.4999999999995,"[""7.4M-ford_gt_35_15_516157.jpg""]",1.0,5120.0,-1.0,-1.0,1.0697034764877527,1.0704372091948002,1.070928267376201,1.0710510319215512,292.0,129.114.109.158,w1,c05a2742929e48ce9a2742929e88ce47,,1,5120,35.54994742279905,1000000.0
imageprocess,2024-03-11T05:37:09.740958Z,2024-03-11T05:37:32.642055Z,2024-03-11T05:37:22.243Z,2024-03-11T05:37:31.961Z,9718.0,1082.0,3776.4999999999995,"[""7.4M-ford_gt_35_15_516157.jpg""]",1.0,5120.0,-1.0,-1.0,1.0249322625475503,1.0269510735763328,1.027106045662486,1.0271447886840244,285.0,129.114.109.158,w1,db5656095f7942639656095f79d2636c,,1,5120,34.40215933684027,1000000.0
imageprocess,2024-03-11T05:37:32.824293Z,2024-03-11T05:37:45.444134Z,2024-03-11T05:37:35.195Z,2024-03-11T05:37:44.804Z,9609.0,990.0,3776.4999999999995,"[""7.4M-ford_gt_35_15_516157.jpg""]",2.0,5120.0,-1.0,-1.0,1.0597250188150147,1.0717119566930555,1.1542405202205033,1.1748726611023652,296.0,129.114.109.158,w1,211127c76cb4415d9127c76cb4715d19,,2,5120,33.39420072984832,1000000.0
imageprocess,2024-03-11T05:37:45.911217Z,2024-03-11T05:38:11.350351Z,2024-03-11T05:38:01.103Z,2024-03-11T05:38:10.708Z,9605.0,872.0,3776.4999999999995,"[""7.4M-ford_gt_35_15_516157.jpg""]",2.0,5120.0,-1.0,-1.0,1.0288305762758083,1.029092597379622,1.0298621985129082,1.0300545987962297,303.0,129.114.109.158,w1,1b41624e532045ad81624e532055addb,,2,5120,33.96092150390883,1000000.0
imageprocess,2024-03-11T05:38:11.999138Z,2024-03-11T05:38:34.630413Z,2024-03-11T05:38:24.334Z,2024-03-11T05:38:34.001Z,9666.0,932.0,3776.4999999999995,"[""7.4M-ford_gt_35_15_516157.jpg""]",2.0,5120.0,-1.0,-1.0,1.0596600994310057,1.0630577828261258,1.080049421571217,1.08429733125749,288.0,129.114.109.158,w1,d408ee33de51455788ee33de5195571f,,2,5120,32.874019083986354,1000000.0
imageprocess,2024-03-11T05:38:35.084536Z,2024-03-11T05:38:50.637672Z,2024-03-11T05:38:40.335Z,2024-03-11T05:38:49.839Z,9503.0,925.0,3776.4999999999995,"[""7.4M-ford_gt_35_15_516157.jpg""]",3.0,5120.0,-1.0,-1.0,1.0580032749864325,1.0587468742370651,1.0595319773664493,1.0597282531487955,314.0,129.114.109.158,w1,b83310f95dd94e56b310f95dd99e5602,,3,5120,35.60150688955419,1000000.0
imageprocess,2024-03-11T05:38:51.164643Z,2024-03-11T05:39:13.561845Z,2024-03-11T05:39:03.307Z,2024-03-11T05:39:12.873Z,9565.0,820.0,3776.4999999999995,"[""7.4M-ford_gt_35_15_516157.jpg""]",3.0,5120.0,-1.0,-1.0,1.0702945159009813,1.0704130604622095,1.0712176518839387,1.0714187997393712,315.0,129.114.109.158,w1,8743a90cdf8148e483a90cdf8108e4c9,,3,5120,33.88785414851268,1000000.0
imageprocess,2024-03-11T05:39:14.248783Z,2024-03-11T05:39:36.673354Z,2024-03-11T05:39:26.512Z,2024-03-11T05:39:36.008Z,9495.0,823.0,3776.4999999999995,"[""7.4M-ford_gt_35_15_516157.jpg""]",3.0,5120.0,-1.0,-1.0,1.049776712310119,1.0522020043492208,1.0682364356636147,1.072245043492213,297.0,129.114.109.158,w1,adba2100dad544eaba2100dad5f4ea34,,3,5120,35.11502684071765,1000000.0
imageprocess,2024-03-11T05:39:37.333078Z,2024-03-11T05:39:52.809710Z,2024-03-11T05:39:42.507Z,2024-03-11T05:39:52.060Z,9552.0,840.0,3776.4999999999995,"[""7.4M-ford_gt_35_15_516157.jpg""]",5.0,5120.0,-1.0,-1.0,1.059397251350726,1.0603995458094473,1.0619028626182776,1.0622786918204852,308.0,129.114.109.158,w1,a93fca938fc545dabfca938fc595da3a,,5,5120,34.35120883793461,1000000.0
