function,lachesis_start,lachesis_end,start_time,end_time,duration,cold_start_latency,slo,inputs,cpu_limit,mem_limit,predicted_cpu,predicted_mem,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip,invoker_name,activation_id,exp_no,scheduled_cpu,scheduled_mem,energy,frequency
videoprocess,2024-03-06T16:39:24.141496Z,2024-03-06T16:39:28.265273Z,2024-03-06T16:39:26.232Z,2024-03-06T16:39:27.740Z,1507.0,0.0,940.8,"[""1.5M-bird.avi""]",1.0,5120.0,-1.0,-1.0,-0.02,-0.02,-0.02,-0.02,-2.0,129.114.109.158,w1,711d9a61040b463a9d9a61040b863a14,,1,5120,-1.0,1000000.0
videoprocess,2024-03-06T16:39:29.202829Z,2024-03-06T16:39:45.781484Z,2024-03-06T16:39:42.847Z,2024-03-06T16:39:45.230Z,2382.0,1062.0,940.8,"[""1.5M-bird.avi""]",1.0,5120.0,-1.0,-1.0,1.0414301577730616,1.0415874991621388,1.0417133722734004,1.041744840551216,37.0,129.114.109.158,w1,e39acd974053415c9acd974053115c35,,1,5120,6.974713111271916,1000000.0
videoprocess,2024-03-06T16:39:46.454066Z,2024-03-06T16:40:01.788579Z,2024-03-06T16:39:58.968Z,2024-03-06T16:40:01.294Z,2326.0,1079.0,940.8,"[""1.5M-bird.avi""]",1.0,5120.0,-1.0,-1.0,1.055591124215428,1.057903670281512,1.0597537071343794,1.0602162163475963,36.0,129.114.109.158,w1,f3fe8e770cf54c9dbe8e770cf5ec9d14,,1,5120,5.430346234733595,1000000.0
videoprocess,2024-03-06T16:40:02.529582Z,2024-03-06T16:40:04.604111Z,2024-03-06T16:40:02.640Z,2024-03-06T16:40:04.138Z,1498.0,0.0,940.8,"[""1.5M-bird.avi""]",2.0,5120.0,-1.0,-1.0,-0.02,-0.02,-0.02,-0.02,-2.0,129.114.109.158,w1,daf7994ab8454107b7994ab845e10724,,2,5120,-1.0,1000000.0
videoprocess,2024-03-06T16:40:05.601532Z,2024-03-06T16:40:20.805648Z,2024-03-06T16:40:17.963Z,2024-03-06T16:40:20.213Z,2250.0,1053.0,940.8,"[""1.5M-bird.avi""]",2.0,5120.0,-1.0,-1.0,1.0393938586359492,1.0436271103157035,1.047013711659507,1.0478603619954578,38.0,129.114.109.158,w1,62f3955a63ad40c5b3955a63ad80c573,,2,5120,6.773320202893562,1000000.0
videoprocess,2024-03-06T16:40:21.675416Z,2024-03-06T16:40:39.780925Z,2024-03-06T16:40:36.999Z,2024-03-06T16:40:39.273Z,2274.0,969.0,940.8,"[""1.5M-bird.avi""]",2.0,5120.0,-1.0,-1.0,1.0879163635632967,1.0954933317962128,1.1015549063825458,1.103070300029129,37.0,129.114.109.158,w1,4099739e1aa549e399739e1aa5f9e313,,2,5120,6.349062507665475,1000000.0
videoprocess,2024-03-06T16:40:40.756577Z,2024-03-06T16:40:45.707874Z,2024-03-06T16:40:43.036Z,2024-03-06T16:40:45.233Z,2197.0,915.0,940.8,"[""1.5M-bird.avi""]",3.0,5120.0,-1.0,-1.0,1.2311180666737864,1.2679142021005063,1.2973511104418822,1.3047103375272264,36.0,129.114.109.158,w1,afb489fdf7734885b489fdf773b88570,,3,5120,4.713048659181519,1000000.0
videoprocess,2024-03-06T16:40:45.830152Z,2024-03-06T16:41:00.648192Z,2024-03-06T16:40:58.037Z,2024-03-06T16:41:00.172Z,2134.0,879.0,940.8,"[""1.5M-bird.avi""]",3.0,5120.0,-1.0,-1.0,1.1254610013396764,1.1414896095457505,1.15431249611061,1.1575182177518248,39.0,129.114.109.158,w1,1d1961d59b8442429961d59b84424249,,3,5120,7.824087304893137,1000000.0
videoprocess,2024-03-06T16:41:00.906517Z,2024-03-06T16:41:15.856725Z,2024-03-06T16:41:13.148Z,2024-03-06T16:41:15.360Z,2211.0,922.0,940.8,"[""1.5M-bird.avi""]",3.0,5120.0,-1.0,-1.0,1.477213894328816,1.6196907328813044,1.7336722037232954,1.7621675714337932,36.0,129.114.109.158,w1,9816dbb34ee3477296dbb34ee35772e5,,3,5120,7.131323877013029,1000000.0
videoprocess,2024-03-06T16:41:15.979762Z,2024-03-06T16:41:23.916137Z,2024-03-06T16:41:21.198Z,2024-03-06T16:41:23.373Z,2174.0,858.0,940.8,"[""1.5M-bird.avi""]",5.0,5120.0,-1.0,-1.0,2.125661731984874,2.480510477740192,2.764389474344447,2.8353592234955105,37.0,129.114.109.158,w1,f75e9fa132524bca9e9fa132527bcafc,,5,5120,6.034809610617569,1000000.0
