function,lachesis_start,lachesis_end,start_time,end_time,duration,cold_start_latency,slo,inputs,cpu_limit,mem_limit,predicted_cpu,predicted_mem,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip,invoker_name,activation_id,exp_no,scheduled_cpu,scheduled_mem,energy,frequency,median_energy
floatmatmult,2024-03-06T06:26:41.409817Z,2024-03-06T06:27:03.132417Z,2024-03-06T06:26:57.888Z,2024-03-06T06:27:02.751Z,4863.0,2146.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",1.0,5120.0,-1.0,-1.0,1.075274589470258,1.1580799050593769,1.2243241575306725,1.2408852206484962,110.0,129.114.108.87,w1,563c2a45fc6f4750bc2a45fc6f975009,,1,5120,25.742654080475447,1000000.0,25.742654080475447
floatmatmult,2024-03-06T06:27:32.677375Z,2024-03-06T06:27:51.134532Z,2024-03-06T06:27:45.982Z,2024-03-06T06:27:50.636Z,4654.0,1997.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",2.0,5120.0,-1.0,-1.0,1.5595974139994362,2.0192022874075275,2.3868861861340025,2.4788071608156206,110.0,129.114.108.87,w1,f89bd26bdfb846f09bd26bdfb8e6f032,,2,5120,16.774151102699516,1000000.0,16.774151102699516
floatmatmult,2024-03-06T06:28:37.038533Z,2024-03-06T06:28:54.851721Z,2024-03-06T06:28:50.275Z,2024-03-06T06:28:54.437Z,4161.0,1869.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",3.0,5120.0,-1.0,-1.0,2.093393384410867,2.121166379705434,2.143384775941088,2.148939375000001,110.0,129.114.108.87,w1,9a1f3ef4983c46a49f3ef4983c46a417,,3,5120,14.96563307551104,1000000.0,14.96563307551104
floatmatmult,2024-03-06T06:28:55.127929Z,2024-03-06T06:29:03.030123Z,2024-03-06T06:28:58.387Z,2024-03-06T06:29:02.529Z,4142.0,1933.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",5.0,5120.0,-1.0,-1.0,2.058594367080025,3.199131814214194,4.11156177192153,4.339669261348365,111.0,129.114.108.87,w1,4797a8b914624ca697a8b914628ca64c,,5,5120,16.259096599348634,1000000.0,16.259096599348634
floatmatmult,2024-03-06T06:29:47.489891Z,2024-03-06T06:30:04.903888Z,2024-03-06T06:30:00.673Z,2024-03-06T06:30:04.547Z,3874.0,1843.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",7.0,5120.0,-1.0,-1.0,3.956565816965883,4.329176138767129,4.627264396208126,4.701786460568377,111.0,129.114.108.87,w1,300da080d27e4f358da080d27e4f352c,,7,5120,15.579570757596931,1000000.0,15.579570757596931
floatmatmult,2024-03-06T06:30:13.658624Z,2024-03-06T06:30:21.267684Z,2024-03-06T06:30:16.890Z,2024-03-06T06:30:20.836Z,3945.0,1838.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",10.0,5120.0,-1.0,-1.0,2.3426273467621934,3.786712133610723,4.94197996308955,5.230796920459258,110.0,129.114.108.87,w1,74980e5d0fa941e6980e5d0fa9e1e672,,10,5120,18.951962996722614,1000000.0,18.951962996722614
floatmatmult,2024-03-06T06:31:29.712262Z,2024-03-06T06:31:47.139651Z,2024-03-06T06:31:42.954Z,2024-03-06T06:31:46.755Z,3801.0,1817.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",13.0,5120.0,-1.0,-1.0,5.402216832529893,5.799131730898104,6.116663649592672,6.196046629266314,109.0,129.114.108.87,w1,28c177e838144e5a8177e83814ee5a5a,,13,5120,16.852341795182276,1000000.0,16.852341795182276
floatmatmult,2024-03-06T06:31:47.801925Z,2024-03-06T06:31:55.752368Z,2024-03-06T06:31:51.437Z,2024-03-06T06:31:55.326Z,3888.0,1846.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",16.0,5120.0,-1.0,-1.0,5.228517030765958,6.283259486198221,7.127053450544036,7.338001941630489,110.0,129.114.108.87,w1,d8bfcb579eb6445bbfcb579eb6845b40,,16,5120,17.646420014693057,1000000.0,17.646420014693057
floatmatmult,2024-03-06T06:32:32.091791Z,2024-03-06T06:32:39.444003Z,2024-03-06T06:32:35.243Z,2024-03-06T06:32:39.024Z,3780.0,1812.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",19.0,5120.0,-1.0,-1.0,4.126427560483646,6.417465623718873,8.250296074307062,8.708503686954113,110.0,129.114.108.87,w1,bb9cf1c058be4bf59cf1c058befbf562,,19,5120,15.255841456096707,1000000.0,15.255841456096707
floatmatmult,2024-03-06T06:33:45.548301Z,2024-03-06T06:34:02.860844Z,2024-03-06T06:33:58.664Z,2024-03-06T06:34:02.415Z,3750.0,1772.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",22.0,5120.0,-1.0,-1.0,4.066555150111372,6.523691202873904,8.489400045083933,8.980827255636441,109.0,129.114.108.87,w1,a0f2e1af9f314ba6b2e1af9f31bba60e,,22,5120,15.814496335536116,1000000.0,15.814496335536116
floatmatmult,2024-03-06T06:34:03.637348Z,2024-03-06T06:34:11.193260Z,2024-03-06T06:34:06.933Z,2024-03-06T06:34:10.719Z,3786.0,1771.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",25.0,5120.0,-1.0,-1.0,5.056134820140044,8.027421802550828,10.404451388479464,10.998708784961629,110.0,129.114.108.87,w1,645f68c0fef74bd29f68c0fef70bd2e1,,25,5120,14.0121350019148,1000000.0,14.0121350019148
floatmatmult,2024-03-06T06:34:47.905550Z,2024-03-06T06:34:55.303003Z,2024-03-06T06:34:51.046Z,2024-03-06T06:34:54.858Z,3812.0,1807.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",28.0,5120.0,-1.0,-1.0,8.98765646275825,9.527267429101652,9.958956202176374,10.066878395445054,109.0,129.114.108.87,w1,1fbfa1744d464b15bfa1744d463b1515,,28,5120,18.592610312516616,1000000.0,18.592610312516616
floatmatmult,2024-03-06T06:36:01.356759Z,2024-03-06T06:36:18.723194Z,2024-03-06T06:36:14.571Z,2024-03-06T06:36:18.304Z,3732.0,1829.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",31.0,5120.0,-1.0,-1.0,4.669971933772832,8.527019862070295,11.612658204708271,12.384067790367768,109.0,129.114.108.87,w1,85053e98dc96447d853e98dc96147d5b,,31,5120,17.419322634003134,1000000.0,17.419322634003134
floatmatmult,2024-03-06T06:36:56.216647Z,2024-03-06T06:37:14.225253Z,2024-03-06T06:37:09.293Z,2024-03-06T06:37:13.855Z,4562.0,1812.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",1.0,5120.0,-1.0,-1.0,1.1098826956509398,1.1303279618310216,1.146684174775087,1.1507732280111034,110.0,129.114.108.87,w1,780092cdfc3f4f5b8092cdfc3f9f5b9f,,1,5120,21.280529069768388,1200000.0,21.280529069768388
floatmatmult,2024-03-06T06:37:22.400532Z,2024-03-06T06:37:39.636345Z,2024-03-06T06:37:35.330Z,2024-03-06T06:37:39.197Z,3866.0,1701.0,1793.4,"[""matrix1_1000_0.3.txt"", ""matrix1_1000_0.3.txt""]",2.0,5120.0,-1.0,-1.0,1.584039429412917,1.6156171227357796,1.64087927739407,1.6471948160586427,110.0,129.114.108.87,w1,cc43e01e61df473383e01e61dfc7335b,,2,5120,24.00517760887739,1200000.0,24.00517760887739
