function,lachesis_start,lachesis_end,start_time,end_time,duration,cold_start_latency,slo,inputs,cpu_limit,mem_limit,predicted_cpu,predicted_mem,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip,invoker_name,activation_id,exp_no,scheduled_cpu,scheduled_mem,energy,frequency,median_energy
imageprocess,2024-03-08T02:18:20.010460Z,2024-03-08T02:18:41.875098Z,2024-03-08T02:18:32.413Z,2024-03-08T02:18:41.242Z,8828.0,1082.0,3446.8,"[""13M-st_basils_cathedral_2_516323.jpg""]",1.0,5120.0,-1.0,-1.0,1.028316254475368,1.0290790549271167,1.030717097360559,1.0311266079689196,279.0,129.114.109.158,w1,c1c231b43ab240038231b43ab21003e4,,1,5120,55.19978277517788,1000000.0,55.19978277517788
imageprocess,2024-03-08T02:19:19.254690Z,2024-03-08T02:19:40.834748Z,2024-03-08T02:19:31.560Z,2024-03-08T02:19:40.245Z,8684.0,980.0,3446.8,"[""13M-st_basils_cathedral_2_516323.jpg""]",2.0,5120.0,-1.0,-1.0,1.0482190501448598,1.0488786319258137,1.0490796399364468,1.049129891939105,282.0,129.114.109.158,w1,8a11f1aa99ed4fcf91f1aa99ed0fcf29,,2,5120,55.62198330345795,1000000.0,55.62198330345795
imageprocess,2024-03-08T02:19:41.347367Z,2024-03-08T02:19:53.013589Z,2024-03-08T02:19:43.473Z,2024-03-08T02:19:52.367Z,8893.0,821.0,3446.8,"[""13M-st_basils_cathedral_2_516323.jpg""]",3.0,5120.0,-1.0,-1.0,1.0589481746176153,1.059600331079274,1.0602325328825204,1.060390583333332,277.0,129.114.109.158,w1,14953ca9d39243dd953ca9d39213dd01,,3,5120,54.06791312281791,1000000.0,54.06791312281791
imageprocess,2024-03-08T02:21:11.747366Z,2024-03-08T02:21:33.094644Z,2024-03-08T02:21:23.910Z,2024-03-08T02:21:32.496Z,8585.0,807.0,3446.8,"[""13M-st_basils_cathedral_2_516323.jpg""]",5.0,5120.0,-1.0,-1.0,1.0686367041594171,1.0688961888571442,1.069336649740862,1.0694467649617916,278.0,129.114.109.158,w1,9429457ded6948f6a9457ded6938f613,,5,5120,52.596641929759805,1000000.0,52.596641929759805
imageprocess,2024-03-08T02:21:45.909025Z,2024-03-08T02:22:07.227119Z,2024-03-08T02:21:58.001Z,2024-03-08T02:22:06.628Z,8627.0,752.0,3446.8,"[""13M-st_basils_cathedral_2_516323.jpg""]",7.0,5120.0,-1.0,-1.0,1.0594753852343113,1.3020766382317115,2.0747380002188125,2.2679033407155877,300.0,129.114.109.158,w1,712ed343a8ab4239aed343a8ab32392a,,7,5120,54.22463480507654,1000000.0,54.22463480507654
imageprocess,2024-03-08T02:22:42.153849Z,2024-03-08T02:23:06.500224Z,2024-03-08T02:22:57.297Z,2024-03-08T02:23:05.973Z,8676.0,788.0,3446.8,"[""13M-st_basils_cathedral_2_516323.jpg""]",10.0,5120.0,-1.0,-1.0,1.048161106174152,1.0492337599349415,1.051741226426087,1.0523680930488732,287.0,129.114.109.158,w1,180abbf811b942548abbf811b9d254aa,,10,5120,53.442972422524,1000000.0,53.442972422524
imageprocess,2024-03-08T02:23:41.398612Z,2024-03-08T02:24:02.715849Z,2024-03-08T02:23:53.598Z,2024-03-08T02:24:02.220Z,8621.0,797.0,3446.8,"[""13M-st_basils_cathedral_2_516323.jpg""]",13.0,5120.0,-1.0,-1.0,1.0480959219246488,1.0483846150141682,1.0489058987417506,1.0490362196736462,282.0,129.114.109.158,w1,e26f4b97c1f54b54af4b97c1f5cb5440,,13,5120,53.72912660323446,1000000.0,53.72912660323446
imageprocess,2024-03-08T02:24:28.568115Z,2024-03-08T02:24:43.132004Z,2024-03-08T02:24:33.654Z,2024-03-08T02:24:42.572Z,8917.0,741.0,3446.8,"[""13M-st_basils_cathedral_2_516323.jpg""]",16.0,5120.0,-1.0,-1.0,1.0622543461522564,1.0693137988560266,1.0730879201588817,1.0740314504845954,295.0,129.114.109.158,w1,60746c4b6d0d4494b46c4b6d0d2494e9,,16,5120,33.99207117401994,1000000.0,33.99207117401994
imageprocess,2024-03-08T02:25:27.823582Z,2024-03-08T02:25:39.029219Z,2024-03-08T02:25:29.884Z,2024-03-08T02:25:38.404Z,8519.0,740.0,3446.8,"[""13M-st_basils_cathedral_2_516323.jpg""]",19.0,5120.0,-1.0,-1.0,1.046877026535059,1.047536471918994,1.0489559722726052,1.049310847361008,286.0,129.114.109.158,w1,70298a7216154a1ca98a721615aa1c8e,,19,5120,28.58437425536896,1000000.0,28.58437425536896
imageprocess,2024-03-08T02:26:24.068517Z,2024-03-08T02:26:35.281011Z,2024-03-08T02:26:26.139Z,2024-03-08T02:26:34.692Z,8552.0,730.0,3446.8,"[""13M-st_basils_cathedral_2_516323.jpg""]",22.0,5120.0,-1.0,-1.0,1.0534643365558145,1.1150238948863034,1.3022526037238764,1.3490597809332698,279.0,129.114.109.158,w1,cea42dd9bea64486a42dd9bea67486df,,22,5120,31.59961296398977,1000000.0,31.59961296398977
