function,lachesis_start,lachesis_end,start_time,end_time,duration,cold_start_latency,slo,inputs,cpu_limit,mem_limit,predicted_cpu,predicted_mem,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip,invoker_name,activation_id,exp_no,scheduled_cpu,scheduled_mem,energy,frequency,median_energy
linpack,2024-03-13T04:43:21.901291Z,2024-03-13T04:43:42.159789Z,2024-03-13T04:43:24.205Z,2024-03-13T04:43:41.287Z,17081.0,817.0,8867.711180422264,"[""250.0""]",1.0,5120.0,-1.0,-1.0,1.1273224887631352,1.174726253399551,1.213198237494076,1.2293613186505237,31.0,129.114.109.158,w1,3fed8eca3ca64d1fad8eca3ca6cd1f83,,1,5120,136.3628572569688,1000000.0,136.3628572569688
linpack,2024-03-13T04:45:00.284878Z,2024-03-13T04:45:21.835371Z,2024-03-13T04:45:12.468Z,2024-03-13T04:45:21.087Z,8619.0,760.0,8867.711180422264,"[""250.0""]",2.0,5120.0,-1.0,-1.0,2.190921794247401,2.2558395104269686,2.442793234373829,2.489531665360544,33.0,129.114.109.158,w1,d96e863cddd34019ae863cddd3401920,,2,5120,69.67221141727026,1000000.0,69.67221141727026
linpack,2024-03-13T04:45:44.452219Z,2024-03-13T04:45:55.939810Z,2024-03-13T04:45:49.602Z,2024-03-13T04:45:55.183Z,5581.0,610.0,8867.711180422264,"[""250.0""]",3.0,5120.0,-1.0,-1.0,3.216959824643554,3.2304720030004743,3.241281745686011,3.243984181357395,32.0,129.114.109.158,w1,e5b23dbd70dd4b57b23dbd70dd3b57ad,,3,5120,45.882564540718846,1000000.0,45.882564540718846
linpack,2024-03-13T04:46:41.760284Z,2024-03-13T04:46:58.016445Z,2024-03-13T04:46:53.869Z,2024-03-13T04:46:57.190Z,3320.0,585.0,8867.711180422264,"[""250.0""]",5.0,5120.0,-1.0,-1.0,5.500280924129254,5.591598628461156,5.664652791926679,5.682916332793059,32.0,129.114.109.158,w1,6c02552fb35f425c82552fb35f325cc0,,5,5120,28.087443239825383,1000000.0,28.087443239825383
linpack,2024-03-13T04:47:24.980918Z,2024-03-13T04:47:42.247099Z,2024-03-13T04:47:39.070Z,2024-03-13T04:47:41.489Z,2419.0,648.0,8867.711180422264,"[""250.0""]",7.0,5120.0,-1.0,-1.0,7.599457333573414,7.600943992769725,7.602133320126773,7.602430651966037,32.0,129.114.109.158,w1,30ce884fc1fa4e8f8e884fc1fa6e8fa7,,7,5120,15.768270395908916,1000000.0,15.768270395908916
linpack,2024-03-13T04:48:22.270556Z,2024-03-13T04:48:36.881653Z,2024-03-13T04:48:34.263Z,2024-03-13T04:48:36.097Z,1833.0,579.0,8867.711180422264,"[""250.0""]",10.0,5120.0,-1.0,-1.0,10.8100830845373,10.844418490115322,10.87188681457774,10.878753895693343,32.0,129.114.109.158,w1,ef7ccb422d084467bccb422d08d4675c,,10,5120,5.832150783045386,1000000.0,5.832150783045386
linpack,2024-03-13T04:48:37.356939Z,2024-03-13T04:48:41.756315Z,2024-03-13T04:48:39.447Z,2024-03-13T04:48:40.891Z,1443.0,623.0,8867.711180422264,"[""250.0""]",13.0,5120.0,-1.0,-1.0,13.929679583276943,13.946002223444202,13.95906033557801,13.962324863611462,33.0,129.114.109.158,w1,eddd906081f24ff79d906081f2aff7ac,,13,5120,2.1144173526852024,1000000.0,2.1144173526852024
linpack,2024-03-13T04:49:20.652956Z,2024-03-13T04:49:34.841751Z,2024-03-13T04:49:32.772Z,2024-03-13T04:49:34.085Z,1313.0,564.0,8867.711180422264,"[""250.0""]",16.0,5120.0,-1.0,-1.0,17.26638241628214,17.297279491489178,17.321997151654806,17.328176566696214,33.0,129.114.109.158,w1,3bb886b62566400ab886b62566100a9e,,16,5120,6.988739059720807,1000000.0,6.988739059720807
linpack,2024-03-13T04:49:50.804527Z,2024-03-13T04:49:54.649749Z,2024-03-13T04:49:52.770Z,2024-03-13T04:49:53.890Z,1120.0,557.0,8867.711180422264,"[""250.0""]",19.0,5120.0,-1.0,-1.0,19.97592985164574,21.08570345383374,21.973522335584143,22.195477056021744,32.0,129.114.109.158,w1,65232a53404d4f7aa32a53404d9f7aea,,19,5120,2.352473132120584,1000000.0,2.352473132120584
linpack,2024-03-13T04:50:26.018916Z,2024-03-13T04:50:29.918996Z,2024-03-13T04:50:28.044Z,2024-03-13T04:50:29.105Z,1060.0,544.0,8867.711180422264,"[""250.0""]",22.0,5120.0,-1.0,-1.0,21.340802763676457,22.52640278880607,23.474882808909765,23.712002813935687,33.0,129.114.109.158,w1,fc25620c193f4f5ba5620c193f1f5b3b,,22,5120,0.0,1000000.0,0.0
linpack,2024-03-13T04:51:35.517766Z,2024-03-13T04:51:50.541821Z,2024-03-13T04:51:48.958Z,2024-03-13T04:51:49.797Z,838.0,523.0,8867.711180422264,"[""250.0""]",28.0,5120.0,-1.0,-1.0,23.29817384101438,24.59251643551215,25.62799051111037,25.886859030009923,32.0,129.114.109.158,w1,ea8b19c6741144ef8b19c6741124efc8,,28,5120,0.0,1000000.0,0.0
