function,lachesis_start,lachesis_end,start_time,end_time,duration,cold_start_latency,slo,inputs,cpu_limit,mem_limit,predicted_cpu,predicted_mem,p90_cpu,p95_cpu,p99_cpu,max_cpu,max_mem,invoker_ip,invoker_name,activation_id,exp_no,scheduled_cpu,scheduled_mem,energy,frequency,median_energy
videoprocess,2024-03-06T16:39:46.454066Z,2024-03-06T16:40:01.788579Z,2024-03-06T16:39:58.968Z,2024-03-06T16:40:01.294Z,2326.0,1079.0,940.8,"[""1.5M-bird.avi""]",1.0,5120.0,-1.0,-1.0,1.055591124215428,1.057903670281512,1.0597537071343794,1.0602162163475963,36.0,129.114.109.158,w1,f3fe8e770cf54c9dbe8e770cf5ec9d14,,1,5120,5.430346234733595,1000000.0,5.430346234733595
videoprocess,2024-03-06T16:40:21.675416Z,2024-03-06T16:40:39.780925Z,2024-03-06T16:40:36.999Z,2024-03-06T16:40:39.273Z,2274.0,969.0,940.8,"[""1.5M-bird.avi""]",2.0,5120.0,-1.0,-1.0,1.087916363563297,1.0954933317962128,1.1015549063825458,1.103070300029129,37.0,129.114.109.158,w1,4099739e1aa549e399739e1aa5f9e313,,2,5120,6.349062507665475,1000000.0,6.349062507665475
videoprocess,2024-03-06T16:41:00.906517Z,2024-03-06T16:41:15.856725Z,2024-03-06T16:41:13.148Z,2024-03-06T16:41:15.360Z,2211.0,922.0,940.8,"[""1.5M-bird.avi""]",3.0,5120.0,-1.0,-1.0,1.477213894328816,1.6196907328813044,1.7336722037232954,1.7621675714337932,36.0,129.114.109.158,w1,9816dbb34ee3477296dbb34ee35772e5,,3,5120,7.131323877013029,1000000.0,7.131323877013029
videoprocess,2024-03-06T16:41:15.979762Z,2024-03-06T16:41:23.916137Z,2024-03-06T16:41:21.198Z,2024-03-06T16:41:23.373Z,2174.0,858.0,940.8,"[""1.5M-bird.avi""]",5.0,5120.0,-1.0,-1.0,2.125661731984874,2.480510477740192,2.764389474344447,2.8353592234955105,37.0,129.114.109.158,w1,f75e9fa132524bca9e9fa132527bcafc,,5,5120,6.034809610617569,1000000.0,6.034809610617569
videoprocess,2024-03-06T16:42:14.343646Z,2024-03-06T16:42:29.113185Z,2024-03-06T16:42:26.496Z,2024-03-06T16:42:28.580Z,2083.0,852.0,940.8,"[""1.5M-bird.avi""]",7.0,5120.0,-1.0,-1.0,1.0606469049012617,1.061868809505937,1.0628463331896771,1.063090714110612,38.0,129.114.109.158,w1,e4e102fd2c0542e4a102fd2c05c2e4b3,,7,5120,5.895481796425717,1000000.0,5.895481796425717
videoprocess,2024-03-06T16:42:34.488413Z,2024-03-06T16:42:49.252623Z,2024-03-06T16:42:46.599Z,2024-03-06T16:42:48.688Z,2088.0,803.0,940.8,"[""1.5M-bird.avi""]",10.0,5120.0,-1.0,-1.0,1.0795510238147064,1.0801888965130315,1.0806991946716915,1.0808267692113565,38.0,129.114.109.158,w1,1498c8204e8c4d3a98c8204e8c9d3a5c,,10,5120,6.220690967253993,1000000.0,6.220690967253993
videoprocess,2024-03-06T16:43:24.793548Z,2024-03-06T16:43:39.596337Z,2024-03-06T16:43:36.975Z,2024-03-06T16:43:39.051Z,2075.0,861.0,940.8,"[""1.5M-bird.avi""]",13.0,5120.0,-1.0,-1.0,1.0645206569948926,1.0678953149412889,1.0705950412984058,1.0712699728876849,37.0,129.114.109.158,w1,b7604034fc034276a04034fc034276fb,,13,5120,4.930406826459186,1000000.0,4.930406826459186
videoprocess,2024-03-06T16:43:44.943290Z,2024-03-06T16:44:01.111354Z,2024-03-06T16:43:58.600Z,2024-03-06T16:44:00.666Z,2066.0,801.0,940.8,"[""1.5M-bird.avi""]",16.0,5120.0,-1.0,-1.0,1.07373638174304,1.077863608691175,1.081165390249683,1.08199083563931,37.0,129.114.109.158,w1,54415b10d6e04b69815b10d6e0ab6923,,16,5120,6.23346492474436,1000000.0,6.23346492474436
videoprocess,2024-03-06T16:44:16.619963Z,2024-03-06T16:44:21.307587Z,2024-03-06T16:44:18.752Z,2024-03-06T16:44:20.811Z,2058.0,815.0,940.8,"[""1.5M-bird.avi""]",19.0,5120.0,-1.0,-1.0,1.0845731338349922,1.0875058136761584,1.0898519575490917,1.0904384935173246,39.0,129.114.109.158,w1,55975d3d898d40cc975d3d898d80cc1f,,19,5120,5.152747504133147,1000000.0,5.152747504133147
videoprocess,2024-03-06T16:44:51.839609Z,2024-03-06T16:44:56.575788Z,2024-03-06T16:44:53.976Z,2024-03-06T16:44:56.071Z,2095.0,799.0,940.8,"[""1.5M-bird.avi""]",22.0,5120.0,-1.0,-1.0,1.0648335442035728,1.0655873384468555,1.066190373841482,1.0663411326901384,37.0,129.114.109.158,w1,3b75966921424c47b5966921422c479e,,22,5120,6.047431840552866,1000000.0,6.047431840552866
